60D8,20,080
E9E0,20,080
7BFB,24,096
F8DF,24,096
7807,12,048
2020,08,032
2020,08,032
4840,12,048
2B63,12,048
904A,12,024
A722,20,040
0920,16,032
2B33,12,048
FACD,12,048
8356,24,048
1875,12,048
DF40,12,024
6A1A,12,048
80E0,12,048
9012,12,048
80DF,12,048
8FE5,12,048
1813,10,040
67B7,24,096
0098,12,048
602A,12,048
0D9E,12,024
0BAF,24,048
D922,12,048
51F5,12,024
D9A4,24,096
4C4F,24,096
BF14,24,096
3B1F,12,024
57DF,12,024
E2CF,24,048
7C57,48,096
1157,12,048
CE50,12,048
C08C,12,048
891C,12,048
F047,12,048
CB0C,10,040
D128,10,040
17B4,24,048
0721,24,048
F4DC,12,048
B704,40,080
B704,40,080
F15D,12,024
10D0,10,040
162D,12,024
1621,12,024
945A,12,048
EAB4,12,048
5B61,12,024
9C7F,24,048
9C73,24,048
1254,12,048
4ACD,12,048
B1FA,12,048
C657,24,096
57DC,24,096
7AA9,48,096
3085,48,096
65EC,48,096
964A,48,096
6203,12,048
0C23,12,048
8948,12,048
0591,12,048
FA5E,12,048
511C,12,048
9E9D,03,006
2E49,24,096
E80F,24,096
8E09,20,080
1542,10,040
DF1C,12,048
76F9,12,048
897C,24,048
87DD,24,048
6F7A,24,048
06CF,24,048
4413,24,048
211F,24,096
1960,24,048
6815,12,024
685F,12,024
396F,12,024
9998,16,064
E2F4,24,096
F71E,24,096
20AE,15,060
8960,24,048
359E,24,048
A2B9,24,048
99CF,24,048
2046,24,048
59C6,12,048
F9CD,12,024
C0A1,12,048
E7EB,12,024
D060,12,048
CA9F,24,096
7A1C,24,096
EDA3,24,048
71F5,12,048
5474,12,048
B17D,24,048
78F5,24,048
4759,12,024
A9C3,20,040
B159,20,040
ED09,16,064
